Country;ID;qual;year;pop;fert;birth;mort;N=workforce;dN;K;c;v;s;gdp;delta;gamma;alpha;r;requil;s/v;K/v
Australia;AUS;1977;A;14074000;2.007;0.0159;0.0076;6371520;0.008253917432574958;457587655813;47351056320;1.630374167894465E11;7.53913985635535E10;285779871673;0.10;0.01;0.80;0.16;0.15;0.46;2.81
Australia;AUS;1978;A;14249000;1.949;0.0156;0.0075;6424110;0.019042949140036517;470359147913;50375299228;1.6392491723990842E11;8.764289872809158E10;301943115196;0.11;0.01;0.72;0.19;0.19;0.53;2.87
Australia;AUS;1979;A;14422000;1.907;0.015300000000000001;0.0073;6546444;0.02777996726161562;482683071033;51319817761;1.609836628442E11;9.847579129479999E10;310779271900;0.11;0.02;0.69;0.20;0.22;0.61;3.00
Australia;AUS;1980;A;14616000;1.891;0.015300000000000001;0.0073;6728304;0.022745405082766772;499656806429;53384496735;1.7076814108455148E11;9.884365702544852E10;322996294845;0.11;0.02;0.76;0.20;0.19;0.58;2.93
Australia;AUS;1981;A;14923000;1.935;0.0157;0.0073;6881342;0.012954595193786328;521443047740;55025113621;1.82682107588932E11;9.7366343700068E10;335073564910;0.11;0.02;0.63;0.19;0.21;0.53;2.85
Australia;AUS;1982;A;15162000;1.929;0.0158;0.0075;6970487;0.011056903197724921;527274338389;58877020790;1.832360251832868E11;8.76854154797132E10;329798461453;0.11;0.01;0.80;0.17;0.17;0.48;2.88
Australia;AUS;1983;A;15348000;1.924;0.0158;0.0073;7047559;0.017827165405780925;538761352378;59669280595;1.778376056213595E11;1.074739200326405E11;344980806249;0.11;0.01;0.71;0.20;0.19;0.60;3.03
Australia;AUS;1984;A;15510000;1.84;0.015;0.0070999999999999995;7173197;0.021281027134762924;555253682411;61342089638;1.860950476043736E11;1.157460157716264E11;363183153014;0.11;0.01;0.69;0.21;0.21;0.62;2.98
Australia;AUS;1985;A;15695000;1.923;0.0157;0.0066;7325850;0.03745517584990138;573852562528;62540550457;1.940174837862655E11;1.239430126017345E11;380501046845;0.11;0.02;0.62;0.22;0.26;0.64;2.96
Australia;AUS;1986;A;15900000;1.868;0.015;0.0073;7600241;0.021600762396876624;588078194305;63636254953;1.97236180499226E11;1.2892238766877399E11;389794823121;0.11;0.01;0.63;0.22;0.22;0.65;2.98
Australia;AUS;1987;A;16137000;1.845;0.0154;0.0075;7764412;0.027703836427021133;606086703909;68581133475;2.0071560795404163E11;1.3849604189895837E11;407792783328;0.11;0.02;0.73;0.23;0.22;0.69;3.02
